"Regional","departamentos","tipodeentidad","cat","direccion","estado","horario actual /contingencia","Latitud","Longitud"
"BOGOTA CENTRO
ZONA 2","CUNDINAMARCA","FACATATIVA","PI","Carrera 3 No. 4 – 60 Cámara de Comercio","ABIERTO","LUNES A VIERNES
7:55 AM A 12:30 PM - 01:55 PM A 5:45 PM","4.80964","74.35308"
"BOGOTA CENTRO
ZONA 2","TOLIMA","IBAGUE","B","Calle 64# 7-24 
Local  04","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.439961","75.2389363"
"BOGOTA CENTRO
ZONA 2","TOLIMA","ESPINAL","E","Carrera 6 # 8-7 Palacio municipal El espinal Tolima","ABIERTO","LUNES A JUEVES
8:00 AM A 12:00 PM
2:00 PM A 5:00 PM
VIERNES
8:00 AM A 12:00PM
2:00 PM A 4 PM","4.15103","-74.8834181"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","SUPERCADE 20 DE JULIO","E","CRA 5A No 30C-20  PORTAL TRANSMILENIO 20 DE JULIO","ABIERTO","LUNES A VIERNES 7:00 A.M. A 4:00 P.M. 
SÁBADOS DE 8:00 A.M. A 12:00 A.M.","4.56632","74.09699"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","PASEO VILLA DEL RIO","C","Centro Comercial Paseo Villa del Rio Diagonal 57 C sur # 62 - 60 local 110 K","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.60083","74.15736"
"BOGOTA CENTRO
ZONA 2","BOGOTA  D.C.","SUPERCADE BOSA","E","Avenida Calle 57 R Sur No. 72 D -12","ABIERTO","LUNES A VIERNES 7:00 A.M. A 4:00 P.M. 
SÁBADOS DE 8:00 A.M. A 12:00 A.M.","4.59556","74.16345"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","MEDELLIN","A","Cra 55 No. 42-90 
local 203-204 
Plaza la Libertad","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","6.244716","75.574645"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","MAYORCA","B","Calle 51 sur # 48 57 Centro Comercial Mayorca local 2192","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","6.16188","75.6055"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","RIONEGRO","D","Calle 49 n # 50 59 centro comercial ganadero local 108-110","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","6.153132","75.374075"
"ANTIOQUIA - EJE CAFETERO","ANTIOQUIA","APARTADO","C","CLL 95 No. 99-11 Barrio  Fundadores","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","7.880067","76.632457"
"ANTIOQUIA - EJE CAFETERO","RISARALDA","PEREIRA","A","CLL 19 # 6-48  Centro comercial Alcides Arevalo LOCAL 211","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.815482","75.694979"
"ANTIOQUIA - EJE CAFETERO","CALDAS","MANIZALES","B","Cll 20 No 22-27 Local 2 
Edificio Cumanday","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","5.0674735","75.5183059"
"ANTIOQUIA - EJE CAFETERO","HONDA","HONDA","PI","Carrera 12 No. 12-17 Oficina de planeación de la alcaldía de Honda","ABIERTO","Lunes a miercoles 8am a 12m - 2pm a 6pm Viernes 8am a 12 – 2pm a 5 pm
Martes y Jueves cerrado","5.21231","74.73406"
"ANTIOQUIA - EJE CAFETERO","QUINDIO","ARMENIA","C","Calle 21 # 16-30 centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.53389","75.6745"
